backend,batch_size,ranks,latency_ms,bs_x_max_rank,sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,total_tokens_x_max_rank,total_tokens_x_sum_rank,var_rank,std_rank,rank_ratio,max_rank_x_std_rank,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,bs_x_var_rank,sum_rank_x_max_rank,sqrt_bs_x_max_rank,log_bs_x_max_rank,sqrt_sum_rank,log_sum_rank,(bs_x_max_rank)^2,sum_rank^2
triton,4,"[8, 8, 8, 8]",0.02457600086927414,32,32,4,8,8,8.0,4,32,128,0.0,0.0,1.0,0.0,128,32.0,32,0.0,256,5.656854249492381,3.4965075614664802,5.656854249492381,3.4965075614664802,1024,1024
triton,4,"[16, 16, 16, 16]",0.024383999407291412,64,64,4,16,16,16.0,4,64,256,0.0,0.0,1.0,0.0,256,64.0,64,0.0,1024,8.0,4.174387269895637,8.0,4.174387269895637,4096,4096
triton,4,"[32, 32, 32, 32]",0.025536000728607178,128,128,4,32,32,32.0,4,128,512,0.0,0.0,1.0,0.0,512,128.0,128,0.0,4096,11.313708498984761,4.859812404361672,11.313708498984761,4.859812404361672,16384,16384
triton,4,"[64, 64, 64, 64]",0.026623999699950218,256,256,4,64,64,64.0,4,256,1024,0.0,0.0,1.0,0.0,1024,256.0,256,0.0,16384,16.0,5.54907608489522,16.0,5.54907608489522,65536,65536
triton,8,"[8, 8, 8, 8, 8, 8, 8, 8]",0.02457600086927414,64,64,8,8,8,8.0,8,64,512,0.0,0.0,1.0,0.0,512,64.0,64,0.0,512,8.0,4.174387269895637,8.0,4.174387269895637,4096,4096
triton,8,"[16, 16, 16, 16, 16, 16, 16, 16]",0.02457600086927414,128,128,8,16,16,16.0,8,128,1024,0.0,0.0,1.0,0.0,1024,128.0,128,0.0,2048,11.313708498984761,4.859812404361672,11.313708498984761,4.859812404361672,16384,16384
triton,8,"[32, 32, 32, 32, 32, 32, 32, 32]",0.024847999215126038,256,256,8,32,32,32.0,8,256,2048,0.0,0.0,1.0,0.0,2048,256.0,256,0.0,8192,16.0,5.54907608489522,16.0,5.54907608489522,65536,65536
triton,8,"[64, 64, 64, 64, 64, 64, 64, 64]",0.026815999299287796,512,512,8,64,64,64.0,8,512,4096,0.0,0.0,1.0,0.0,4096,512.0,512,0.0,32768,22.627416997969522,6.240275845170769,22.627416997969522,6.240275845170769,262144,262144
triton,16,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",0.024512000381946564,128,128,16,8,8,8.0,16,128,2048,0.0,0.0,1.0,0.0,2048,128.0,128,0.0,1024,11.313708498984761,4.859812404361672,11.313708498984761,4.859812404361672,16384,16384
triton,16,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.024720000103116035,256,256,16,16,16,16.0,16,256,4096,0.0,0.0,1.0,0.0,4096,256.0,256,0.0,4096,16.0,5.54907608489522,16.0,5.54907608489522,65536,65536
triton,16,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",0.02459200005978346,512,512,16,32,32,32.0,16,512,8192,0.0,0.0,1.0,0.0,8192,512.0,512,0.0,16384,22.627416997969522,6.240275845170769,22.627416997969522,6.240275845170769,262144,262144
triton,16,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.027648000046610832,1024,1024,16,64,64,64.0,16,1024,16384,0.0,0.0,1.0,0.0,16384,1024.0,1024,0.0,65536,32.0,6.932447891572509,32.0,6.932447891572509,1048576,1048576
triton,32,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",0.02457600086927414,256,256,32,8,8,8.0,32,256,8192,0.0,0.0,1.0,0.0,8192,256.0,256,0.0,2048,16.0,5.54907608489522,16.0,5.54907608489522,65536,65536
triton,32,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.02489599958062172,512,512,32,16,16,16.0,32,512,16384,0.0,0.0,1.0,0.0,16384,512.0,512,0.0,8192,22.627416997969522,6.240275845170769,22.627416997969522,6.240275845170769,262144,262144
