backend,tag,predictor,alpha,beta,r2,n_points
csgmv,down_proj,sqrt_bs_x_max_rank,9.797886734299018e-05,0.022701842247232783,0.8142341351848026,88
csgmv,down_proj,sqrt_sum_rank,0.00011293498638193797,0.022775103601502693,0.7677116273684523,88
csgmv,down_proj,log1p_bs_x_max_rank,0.0010518740998778147,0.01860023662994992,0.7650700019004321,88
csgmv,down_proj,log1p_sum_rank,0.001069153410349116,0.0188626979593021,0.7516595784987802,88
csgmv,down_proj,bs_x_max_rank,1.714752998702269e-06,0.023840039428492582,0.740555244465125,88
csgmv,down_proj,tok_x_max_rank,1.714752998702269e-06,0.023840039428492582,0.740555244465125,88
csgmv,down_proj,sum_rank,2.2257034130033218e-06,0.023932797079085626,0.6666920829197838,88
csgmv,down_proj,bs_x_mean_rank,2.2257034130033218e-06,0.023932797079085626,0.6666920829197838,88
csgmv,down_proj,tok_x_mean_rank,2.2257034130033218e-06,0.023932797079085626,0.6666920829197838,88
csgmv,down_proj,bs,8.86561159456789e-05,0.023604521875751936,0.6442924690950728,88
csgmv,down_proj,total_tokens,8.86561159456789e-05,0.023604521875751936,0.6442924690950728,88
csgmv,down_proj,bs_sq_x_max_rank,4.611443611055073e-08,0.02426729733549068,0.6309923181189243,88
csgmv,down_proj,bs_x_max_rank_sq,2.3115199685981692e-08,0.024158701568747158,0.6034179012519715,88
csgmv,down_proj,bs_x_sum_rank,6.120665086325715e-08,0.024310055776131895,0.5815248453891315,88
csgmv,down_proj,tok_x_sum_rank,6.120665086325715e-08,0.024310055776131895,0.5815248453891315,88
csgmv,down_proj,sum_x_max_rank,3.080018616125639e-08,0.02421935129328817,0.558560849550215,88
csgmv,down_proj,bs_x_max_rank_sq_nl,6.693204465131139e-10,0.024425271181641648,0.5270493358819128,88
csgmv,down_proj,sum_rank_sq,1.0150993415140853e-09,0.024537146014426827,0.41104676606862284,88
csgmv,down_proj,bs_x_min_rank,2.374510273602929e-06,0.02431267365239381,0.3843766413204786,88
csgmv,down_proj,bs_x_var_rank,1.447819288772146e-07,0.024480274838004037,0.36190128295377805,88
csgmv,down_proj,max_rank,2.3072619299318078e-05,0.023952728539293405,0.16201837460260746,88
csgmv,down_proj,max_rank_sq,2.730194581967914e-07,0.02432359426700015,0.15765132136971416,88
csgmv,down_proj,mean_rank,2.6643474120646723e-05,0.024135059391317718,0.12695970840233756,88
csgmv,down_proj,max_x_std_rank,6.242564250539367e-07,0.024542408643749646,0.10628152053595992,88
csgmv,down_proj,std_rank,4.1078244172342835e-05,0.024465047150612592,0.09449356068988234,88
csgmv,down_proj,max_minus_min,1.8785257237614758e-05,0.024463024433338785,0.09409567583739759,88
csgmv,down_proj,var_rank,1.457471129823468e-06,0.024629619651428576,0.085475314932655,88
csgmv,down_proj,rank_ratio,0.00010307081404024667,0.024606411024809063,0.03623534650424126,88
csgmv,down_proj,min_rank,1.5844209934930252e-05,0.02465781013243652,0.031895799596495744,88
triton,down_proj,log1p_sum_rank,0.000682012056332566,0.02205379867298939,0.19605931496680587,88
triton,down_proj,sqrt_sum_rank,6.897298621478174e-05,0.02460818033042356,0.18355296375046634,88
