backend,module,output_dim,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,max_x_std_rank,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,bs_x_var_rank,sum_x_max_rank,bs_sq_x_max_rank,bs_x_max_rank_sq,tok_x_max_rank,tok_x_sum_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,bs_x_max_rank_sq_nl,sum_rank_sq,max_rank_sq
triton,gate_up_proj,22016,"[8, 8, 8, 8]",1,4,8,32,0.025887999683618546,0.026896479884162546,0.003614095129944816,32.0,32.0,4.0,8.0,8.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,128.0,32.0,32.0,0.0,256.0,128.0,256.0,32.0,128.0,32.0,5.656854249492381,5.656854249492381,3.4965075614664802,3.4965075614664802,1024.0,1024.0,64.0
triton,gate_up_proj,22016,"[16, 16, 16, 16]",1,4,16,64,0.026528000831604004,0.02691183991730213,0.002647416559502715,64.0,64.0,4.0,16.0,16.0,16.0,4.0,0.0,0.0,1.0,0.0,0.0,256.0,64.0,64.0,0.0,1024.0,256.0,1024.0,64.0,256.0,64.0,8.0,8.0,4.174387269895637,4.174387269895637,4096.0,4096.0,256.0
triton,gate_up_proj,22016,"[32, 32, 32, 32]",1,4,32,128,0.02638399973511696,0.026539679756388067,0.0018180736623699117,128.0,128.0,4.0,32.0,32.0,32.0,4.0,0.0,0.0,1.0,0.0,0.0,512.0,128.0,128.0,0.0,4096.0,512.0,4096.0,128.0,512.0,128.0,11.313708498984761,11.313708498984761,4.859812404361672,4.859812404361672,16384.0,16384.0,1024.0
triton,gate_up_proj,22016,"[64, 64, 64, 64]",1,4,64,256,0.028672000393271446,0.02918048022314906,0.003697232511721611,256.0,256.0,4.0,64.0,64.0,64.0,4.0,0.0,0.0,1.0,0.0,0.0,1024.0,256.0,256.0,0.0,16384.0,1024.0,16384.0,256.0,1024.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,65536.0,4096.0
triton,gate_up_proj,22016,"[8, 8, 8, 8, 8, 8, 8, 8]",1,8,8,64,0.026623999699950218,0.02690703984349966,0.002140584926223094,64.0,64.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,512.0,64.0,64.0,0.0,512.0,512.0,512.0,64.0,512.0,64.0,8.0,8.0,4.174387269895637,4.174387269895637,4096.0,4096.0,64.0
triton,gate_up_proj,22016,"[16, 16, 16, 16, 16, 16, 16, 16]",1,8,16,128,0.026496000587940216,0.026945279790088535,0.0027127222966349114,128.0,128.0,8.0,16.0,16.0,16.0,8.0,0.0,0.0,1.0,0.0,0.0,1024.0,128.0,128.0,0.0,2048.0,1024.0,2048.0,128.0,1024.0,128.0,11.313708498984761,11.313708498984761,4.859812404361672,4.859812404361672,16384.0,16384.0,256.0
triton,gate_up_proj,22016,"[32, 32, 32, 32, 32, 32, 32, 32]",1,8,32,256,0.028672000393271446,0.02932960020378232,0.0030152130700394236,256.0,256.0,8.0,32.0,32.0,32.0,8.0,0.0,0.0,1.0,0.0,0.0,2048.0,256.0,256.0,0.0,8192.0,2048.0,8192.0,256.0,2048.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,65536.0,1024.0
triton,gate_up_proj,22016,"[64, 64, 64, 64, 64, 64, 64, 64]",1,8,64,512,0.030719999223947525,0.030547519801184534,0.00223305613967281,512.0,512.0,8.0,64.0,64.0,64.0,8.0,0.0,0.0,1.0,0.0,0.0,4096.0,512.0,512.0,0.0,32768.0,4096.0,32768.0,512.0,4096.0,512.0,22.627416997969522,22.627416997969522,6.240275845170769,6.240275845170769,262144.0,262144.0,4096.0
triton,gate_up_proj,22016,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1,16,8,128,0.027648000046610832,0.028337440080940725,0.0021143279331745876,128.0,128.0,16.0,8.0,8.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0,2048.0,128.0,128.0,0.0,1024.0,2048.0,1024.0,128.0,2048.0,128.0,11.313708498984761,11.313708498984761,4.859812404361672,4.859812404361672,16384.0,16384.0,64.0
triton,gate_up_proj,22016,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1,16,16,256,0.02768000029027462,0.02852320009842515,0.0023672685253129477,256.0,256.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,4096.0,256.0,256.0,0.0,4096.0,4096.0,4096.0,256.0,4096.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,65536.0,256.0
triton,gate_up_proj,22016,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,16,32,512,0.027648000046610832,0.028913280041888357,0.0036931463186010323,512.0,512.0,16.0,32.0,32.0,32.0,16.0,0.0,0.0,1.0,0.0,0.0,8192.0,512.0,512.0,0.0,16384.0,8192.0,16384.0,512.0,8192.0,512.0,22.627416997969522,22.627416997969522,6.240275845170769,6.240275845170769,262144.0,262144.0,1024.0
triton,gate_up_proj,22016,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1,16,64,1024,0.054287999868392944,0.05475151984021068,0.0021247408137684033,1024.0,1024.0,16.0,64.0,64.0,64.0,16.0,0.0,0.0,1.0,0.0,0.0,16384.0,1024.0,1024.0,0.0,65536.0,16384.0,65536.0,1024.0,16384.0,1024.0,32.0,32.0,6.932447891572509,6.932447891572509,1048576.0,1048576.0,4096.0
triton,gate_up_proj,22016,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1,32,8,256,0.027648000046610832,0.02855552007444203,0.003727784512204997,256.0,256.0,32.0,8.0,8.0,8.0,32.0,0.0,0.0,1.0,0.0,0.0,8192.0,256.0,256.0,0.0,2048.0,8192.0,2048.0,256.0,8192.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,65536.0,64.0
triton,gate_up_proj,22016,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1,32,16,512,0.027648000046610832,0.028596320059150457,0.003490126554577863,512.0,512.0,32.0,16.0,16.0,16.0,32.0,0.0,0.0,1.0,0.0,0.0,16384.0,512.0,512.0,0.0,8192.0,16384.0,8192.0,512.0,16384.0,512.0,22.627416997969522,22.627416997969522,6.240275845170769,6.240275845170769,262144.0,262144.0,256.0
triton,gate_up_proj,22016,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,32,32,1024,0.03379200026392937,0.03434064023196697,0.002755789700905094,1024.0,1024.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0,1.0,0.0,0.0,32768.0,1024.0,1024.0,0.0,32768.0,32768.0,32768.0,1024.0,32768.0,1024.0,32.0,32.0,6.932447891572509,6.932447891572509,1048576.0,1048576.0,1024.0
triton,gate_up_proj,22016,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1,32,64,2048,0.1109280027449131,0.11135008059442043,0.0031461848181818736,2048.0,2048.0,32.0,64.0,64.0,64.0,32.0,0.0,0.0,1.0,0.0,0.0,65536.0,2048.0,2048.0,0.0,131072.0,65536.0,131072.0,2048.0,65536.0,2048.0,45.254833995939045,45.254833995939045,7.6251071482389,7.6251071482389,4194304.0,4194304.0,4096.0
triton,gate_up_proj,22016,"[8, 8, 16, 16]",1,4,16,48,0.025599999353289604,0.026417599888518453,0.0030360627834084826,64.0,48.0,4.0,16.0,8.0,12.0,4.0,16.0,4.0,2.0,8.0,64.0,192.0,48.0,32.0,64.0,768.0,256.0,1024.0,64.0,192.0,48.0,8.0,6.928203230275509,4.174387269895637,3.8918202981106265,4096.0,2304.0,256.0
triton,gate_up_proj,22016,"[8, 16, 16, 16]",1,4,16,56,0.02550400048494339,0.026034719925373793,0.002746562507092916,64.0,56.0,4.0,16.0,8.0,14.0,4.0,12.0,3.4641016151377544,2.0,8.0,55.42562584220407,224.0,56.0,32.0,48.0,896.0,256.0,1024.0,64.0,224.0,56.0,8.0,7.483314773547883,4.174387269895637,4.04305126783455,4096.0,3136.0,256.0
triton,gate_up_proj,22016,"[8, 8, 8, 16]",1,4,16,40,0.025599999353289604,0.026447839848697186,0.0028570786806645172,64.0,40.0,4.0,16.0,8.0,10.0,4.0,12.0,3.4641016151377544,2.0,8.0,55.42562584220407,160.0,40.0,32.0,48.0,640.0,256.0,1024.0,64.0,160.0,40.0,8.0,6.324555320336759,4.174387269895637,3.713572066704308,4096.0,1600.0,256.0
triton,gate_up_proj,22016,"[8, 8, 32, 32]",1,4,32,80,0.02574400044977665,0.026599359782412648,0.0025522276346957072,128.0,80.0,4.0,32.0,8.0,20.0,4.0,144.0,12.0,4.0,24.0,384.0,320.0,80.0,32.0,576.0,2560.0,512.0,4096.0,128.0,320.0,80.0,11.313708498984761,8.94427190999916,4.859812404361672,4.394449154672439,16384.0,6400.0,1024.0
triton,gate_up_proj,22016,"[8, 32, 32, 32]",1,4,32,104,0.026496000587940216,0.02693311983719468,0.002705026981367136,128.0,104.0,4.0,32.0,8.0,26.0,4.0,108.0,10.392304845413264,4.0,24.0,332.55375505322445,416.0,104.0,32.0,432.0,3328.0,512.0,4096.0,128.0,416.0,104.0,11.313708498984761,10.198039027185569,4.859812404361672,4.653960350157523,16384.0,10816.0,1024.0
triton,gate_up_proj,22016,"[8, 8, 8, 32]",1,4,32,56,0.025599999353289604,0.025584319829940794,0.0008844685472163626,128.0,56.0,4.0,32.0,8.0,14.0,4.0,108.0,10.392304845413264,4.0,24.0,332.55375505322445,224.0,56.0,32.0,432.0,1792.0,512.0,4096.0,128.0,224.0,56.0,11.313708498984761,7.483314773547883,4.859812404361672,4.04305126783455,16384.0,3136.0,1024.0
triton,gate_up_proj,22016,"[8, 8, 64, 64]",1,4,64,144,0.027648000046610832,0.028572960114106535,0.0046043536354698975,256.0,144.0,4.0,64.0,8.0,36.0,4.0,784.0,28.0,8.0,56.0,1792.0,576.0,144.0,32.0,3136.0,9216.0,1024.0,16384.0,256.0,576.0,144.0,16.0,12.0,5.54907608489522,4.976733742420574,65536.0,20736.0,4096.0
triton,gate_up_proj,22016,"[8, 64, 64, 64]",1,4,64,200,0.027807999402284622,0.028649440109729765,0.0022890309110004036,256.0,200.0,4.0,64.0,8.0,50.0,4.0,588.0,24.24871130596428,8.0,56.0,1551.917523581714,800.0,200.0,32.0,2352.0,12800.0,1024.0,16384.0,256.0,800.0,200.0,16.0,14.142135623730951,5.54907608489522,5.303304908059076,65536.0,40000.0,4096.0
triton,gate_up_proj,22016,"[8, 8, 8, 64]",1,4,64,88,0.027807999402284622,0.028333760164678097,0.0013516753886486461,256.0,88.0,4.0,64.0,8.0,22.0,4.0,588.0,24.24871130596428,8.0,56.0,1551.917523581714,352.0,88.0,32.0,2352.0,5632.0,1024.0,16384.0,256.0,352.0,88.0,16.0,9.38083151964686,5.54907608489522,4.48863636973214,65536.0,7744.0,4096.0
triton,gate_up_proj,22016,"[16, 16, 32, 32]",1,4,32,96,0.025599999353289604,0.0260558398719877,0.0022482077781657305,128.0,96.0,4.0,32.0,16.0,24.0,4.0,64.0,8.0,2.0,16.0,256.0,384.0,96.0,64.0,256.0,3072.0,512.0,4096.0,128.0,384.0,96.0,11.313708498984761,9.797958971132712,4.859812404361672,4.574710978503383,16384.0,9216.0,1024.0
triton,gate_up_proj,22016,"[16, 32, 32, 32]",1,4,32,112,0.025599999353289604,0.025849599884822966,0.0016873349621723073,128.0,112.0,4.0,32.0,16.0,28.0,4.0,48.0,6.928203230275509,2.0,16.0,221.70250336881628,448.0,112.0,64.0,192.0,3584.0,512.0,4096.0,128.0,448.0,112.0,11.313708498984761,10.583005244258363,4.859812404361672,4.727387818712341,16384.0,12544.0,1024.0
triton,gate_up_proj,22016,"[16, 16, 16, 32]",1,4,32,80,0.025472000241279602,0.025599359972402452,0.0015304062276116032,128.0,80.0,4.0,32.0,16.0,20.0,4.0,48.0,6.928203230275509,2.0,16.0,221.70250336881628,320.0,80.0,64.0,192.0,2560.0,512.0,4096.0,128.0,320.0,80.0,11.313708498984761,8.94427190999916,4.859812404361672,4.394449154672439,16384.0,6400.0,1024.0
triton,gate_up_proj,22016,"[16, 16, 64, 64]",1,4,64,160,0.027648000046610832,0.028118080059066415,0.0025375604156545814,256.0,160.0,4.0,64.0,16.0,40.0,4.0,576.0,24.0,4.0,48.0,1536.0,640.0,160.0,64.0,2304.0,10240.0,1024.0,16384.0,256.0,640.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,65536.0,25600.0,4096.0
triton,gate_up_proj,22016,"[16, 64, 64, 64]",1,4,64,208,0.02783999964594841,0.028435200145468117,0.001661373294574251,256.0,208.0,4.0,64.0,16.0,52.0,4.0,432.0,20.784609690826528,4.0,48.0,1330.2150202128978,832.0,208.0,64.0,1728.0,13312.0,1024.0,16384.0,256.0,832.0,208.0,16.0,14.422205101855956,5.54907608489522,5.342334251964811,65536.0,43264.0,4096.0
triton,gate_up_proj,22016,"[16, 16, 16, 64]",1,4,64,112,0.028672000393271446,0.028730560187250377,0.0018020692461864203,256.0,112.0,4.0,64.0,16.0,28.0,4.0,432.0,20.784609690826528,4.0,48.0,1330.2150202128978,448.0,112.0,64.0,1728.0,7168.0,1024.0,16384.0,256.0,448.0,112.0,16.0,10.583005244258363,5.54907608489522,4.727387818712341,65536.0,12544.0,4096.0
triton,gate_up_proj,22016,"[32, 32, 64, 64]",1,4,64,192,0.027807999402284622,0.028582880161702632,0.0024094723326959465,256.0,192.0,4.0,64.0,32.0,48.0,4.0,256.0,16.0,2.0,32.0,1024.0,768.0,192.0,128.0,1024.0,12288.0,1024.0,16384.0,256.0,768.0,192.0,16.0,13.856406460551018,5.54907608489522,5.262690188904886,65536.0,36864.0,4096.0
triton,gate_up_proj,22016,"[32, 64, 64, 64]",1,4,64,224,0.027648000046610832,0.02765184004791081,0.0013430343622883561,256.0,224.0,4.0,64.0,32.0,56.0,4.0,192.0,13.856406460551018,2.0,32.0,886.8100134752651,896.0,224.0,128.0,768.0,14336.0,1024.0,16384.0,256.0,896.0,224.0,16.0,14.966629547095765,5.54907608489522,5.41610040220442,65536.0,50176.0,4096.0
