backend,module,batch_size,ranks_str,seq_len,output_dim,max_rank_int,sum_rank_int,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min_rank,max_rank_x_std_rank,bs_x_max_rank_x_outdim,sum_rank_x_outdim,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,bs_x_var_rank,sum_rank_x_max_rank,total_tok_x_max_rank,total_tok_x_sum_rank,sqrt_bs_x_max_rank,log1p_bs_x_max_rank,sqrt_sum_rank,log1p_sum_rank,bs_x_max_rank_sq,sum_rank_sq,max_rank_sq,bs_sq_x_max_rank
csgmv,o_proj,4,"[8, 8, 8, 8]",1,4096.0,8,32,0.02582399919629097,0.026398559799417853,0.0024308256848156276,32.0,32.0,4.0,8.0,8.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,131072.0,131072.0,128.0,32.0,32.0,0.0,256.0,32.0,128.0,5.656854249492381,3.4965075614664802,5.656854249492381,3.4965075614664802,1024.0,1024.0,64.0,128.0
csgmv,o_proj,4,"[16, 16, 16, 16]",1,4096.0,16,64,0.03174399957060814,0.031182239977642894,0.0046777748068162275,64.0,64.0,4.0,16.0,16.0,16.0,4.0,0.0,0.0,1.0,0.0,0.0,262144.0,262144.0,256.0,64.0,64.0,0.0,1024.0,64.0,256.0,8.0,4.174387269895637,8.0,4.174387269895637,4096.0,4096.0,256.0,256.0
csgmv,o_proj,4,"[32, 32, 32, 32]",1,4096.0,32,128,0.025599999353289604,0.026011039782315493,0.0012153392800189312,128.0,128.0,4.0,32.0,32.0,32.0,4.0,0.0,0.0,1.0,0.0,0.0,524288.0,524288.0,512.0,128.0,128.0,0.0,4096.0,128.0,512.0,11.313708498984761,4.859812404361672,11.313708498984761,4.859812404361672,16384.0,16384.0,1024.0,512.0
csgmv,o_proj,4,"[64, 64, 64, 64]",1,4096.0,64,256,0.06656000018119812,0.06726016040891408,0.001980005324339369,256.0,256.0,4.0,64.0,64.0,64.0,4.0,0.0,0.0,1.0,0.0,0.0,1048576.0,1048576.0,1024.0,256.0,256.0,0.0,16384.0,256.0,1024.0,16.0,5.54907608489522,16.0,5.54907608489522,65536.0,65536.0,4096.0,1024.0
csgmv,o_proj,8,"[8, 8, 8, 8, 8, 8, 8, 8]",1,4096.0,8,64,0.06684800237417221,0.06737600050866605,0.001410572087187018,64.0,64.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,262144.0,262144.0,512.0,64.0,64.0,0.0,512.0,64.0,512.0,8.0,4.174387269895637,8.0,4.174387269895637,4096.0,4096.0,64.0,512.0
csgmv,o_proj,8,"[16, 16, 16, 16, 16, 16, 16, 16]",1,4096.0,16,128,0.025728000327944756,0.026197919780388476,0.0016946397795329477,128.0,128.0,8.0,16.0,16.0,16.0,8.0,0.0,0.0,1.0,0.0,0.0,524288.0,524288.0,1024.0,128.0,128.0,0.0,2048.0,128.0,1024.0,11.313708498984761,4.859812404361672,11.313708498984761,4.859812404361672,16384.0,16384.0,256.0,1024.0
csgmv,o_proj,8,"[32, 32, 32, 32, 32, 32, 32, 32]",1,4096.0,32,256,0.028399999253451824,0.029788479823619127,0.0036970039602093963,256.0,256.0,8.0,32.0,32.0,32.0,8.0,0.0,0.0,1.0,0.0,0.0,1048576.0,1048576.0,2048.0,256.0,256.0,0.0,8192.0,256.0,2048.0,16.0,5.54907608489522,16.0,5.54907608489522,65536.0,65536.0,1024.0,2048.0
csgmv,o_proj,8,"[64, 64, 64, 64, 64, 64, 64, 64]",1,4096.0,64,512,0.03254400007426739,0.030665279952809214,0.0036453922929321225,512.0,512.0,8.0,64.0,64.0,64.0,8.0,0.0,0.0,1.0,0.0,0.0,2097152.0,2097152.0,4096.0,512.0,512.0,0.0,32768.0,512.0,4096.0,22.627416997969522,6.240275845170769,22.627416997969522,6.240275845170769,262144.0,262144.0,4096.0,4096.0
csgmv,o_proj,16,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1,4096.0,8,128,0.027375999838113785,0.029354239935055374,0.003705532032106042,128.0,128.0,16.0,8.0,8.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0,524288.0,524288.0,2048.0,128.0,128.0,0.0,1024.0,128.0,2048.0,11.313708498984761,4.859812404361672,11.313708498984761,4.859812404361672,16384.0,16384.0,64.0,2048.0
csgmv,o_proj,16,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1,4096.0,16,256,0.028880000114440918,0.029538239864632488,0.003971421212687961,256.0,256.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,1048576.0,1048576.0,4096.0,256.0,256.0,0.0,4096.0,256.0,4096.0,16.0,5.54907608489522,16.0,5.54907608489522,65536.0,65536.0,256.0,4096.0
