backend,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,num_unique,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,tok_x_max_rank,tok_x_sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,sum_x_max_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,sum_rank_sq,max_rank_sq
triton,"[8, 8, 8, 8]",1.0,4,8,32,1,17.20012855529785,17.211356163024902,0.055508634695877,32.0,32.0,32.0,32.0,4.0,8.0,8.0,8.0,4.0,0.0,0.0,1.0,0.0,128.0,32.0,32.0,256.0,32.0,5.656854249492381,5.656854249492381,3.4965075614664802,3.4965075614664802,1024.0,64.0
triton,"[16, 16, 16, 16]",1.0,4,16,64,1,17.19326400756836,17.484067287445068,1.1867914145053202,64.0,64.0,64.0,64.0,4.0,16.0,16.0,16.0,4.0,0.0,0.0,1.0,0.0,256.0,64.0,64.0,1024.0,64.0,8.0,8.0,4.174387269895637,4.174387269895637,4096.0,256.0
triton,"[32, 32, 32, 32]",1.0,4,32,128,1,17.37382411956787,18.180155239105225,1.8450681624619403,128.0,128.0,128.0,128.0,4.0,32.0,32.0,32.0,4.0,0.0,0.0,1.0,0.0,512.0,128.0,128.0,4096.0,128.0,11.313708498984761,11.313708498984761,4.859812404361672,4.859812404361672,16384.0,1024.0
triton,"[64, 64, 64, 64]",1.0,4,64,256,1,18.111120223999023,18.65160894393921,1.524135441316828,256.0,256.0,256.0,256.0,4.0,64.0,64.0,64.0,4.0,0.0,0.0,1.0,0.0,1024.0,256.0,256.0,16384.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,4096.0
triton,"[8, 8, 8, 8, 8, 8, 8, 8]",1.0,8,8,64,1,17.51257610321045,18.098328876495362,1.5045492489110253,64.0,64.0,64.0,64.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,0.0,512.0,64.0,64.0,512.0,64.0,8.0,8.0,4.174387269895637,4.174387269895637,4096.0,64.0
triton,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,8,16,128,1,17.458352088928223,17.811079330444336,1.2184106263684291,128.0,128.0,128.0,128.0,8.0,16.0,16.0,16.0,8.0,0.0,0.0,1.0,0.0,1024.0,128.0,128.0,2048.0,128.0,11.313708498984761,11.313708498984761,4.859812404361672,4.859812404361672,16384.0,256.0
triton,"[32, 32, 32, 32, 32, 32, 32, 32]",1.0,8,32,256,1,17.747039794921875,19.203361225128173,2.1893955485106957,256.0,256.0,256.0,256.0,8.0,32.0,32.0,32.0,8.0,0.0,0.0,1.0,0.0,2048.0,256.0,256.0,8192.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,1024.0
triton,"[64, 64, 64, 64, 64, 64, 64, 64]",1.0,8,64,512,1,18.66243267059326,19.05899522781372,1.080006148005213,512.0,512.0,512.0,512.0,8.0,64.0,64.0,64.0,8.0,0.0,0.0,1.0,0.0,4096.0,512.0,512.0,32768.0,512.0,22.627416997969522,22.627416997969522,6.240275845170769,6.240275845170769,262144.0,4096.0
triton,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,16,8,128,1,17.828351974487305,18.3642085647583,1.4392180813903823,128.0,128.0,128.0,128.0,16.0,8.0,8.0,8.0,16.0,0.0,0.0,1.0,0.0,2048.0,128.0,128.0,1024.0,128.0,11.313708498984761,11.313708498984761,4.859812404361672,4.859812404361672,16384.0,64.0
triton,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1.0,16,16,256,1,17.811984062194824,18.367644424438478,1.4208031226808828,256.0,256.0,256.0,256.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,0.0,4096.0,256.0,256.0,4096.0,256.0,16.0,16.0,5.54907608489522,5.54907608489522,65536.0,256.0
